label,centroid_x_um,centroid_y_um,length_um,width_um,length_mm,volume_um3,volume_mm3,area_um2,mask_path
20,59893.486871102,628.3992793563939,3775.987706666667,3775.987706666667,3.7759877066666667,11542236271.083908,11.542236271083908,3667286.1301372987,out/guided_masks/guided_mask_20.png
21,60036.10043681619,405.43396404390836,2512.3697733333333,2512.3697733333333,2.5123697733333334,3242698213.9696126,3.2426982139696126,1630764.3940148926,out/guided_masks/guided_mask_21.png
22,58255.7445324496,748.882662684111,3478.66584,3478.66584,3.47866584,10643864713.094448,10.643864713094448,3581095.8450491014,out/guided_masks/guided_mask_22.png
23,58161.78651131201,1005.6724121979046,2743.19925331254,2215.0479066666667,2.74319925331254,5575894913.41634,5.57589491341634,3241417.721509206,out/guided_masks/guided_mask_23.png
24,58132.88405272831,459.21724894308943,2173.963409896567,2155.5835333333334,2.173963409896567,2459427952.989697,2.459427952989697,1558497.154979404,out/guided_masks/guided_mask_24.png
25,57828.022241003404,476.5891281241496,2289.3783733333335,2289.3783733333335,2.2893783733333333,3386169718.575647,3.3861697185756467,1732645.7310037618,out/guided_masks/guided_mask_25.png
26,56586.47928051241,709.0234760587148,4265.900196628224,4147.64004,4.265900196628224,14595671896.52734,14.59567189652734,3824196.649144017,out/guided_masks/guided_mask_26.png
27,56542.31897356526,576.2892797635288,2300.2695753260155,2274.51228,2.3002695753260154,3382605380.1000266,3.3826053801000264,1943922.429835343,out/guided_masks/guided_mask_27.png
28,55847.10158910151,508.59323511182225,2573.486643315103,2527.235866666667,2.573486643315103,3927481261.433012,3.927481261433012,2071881.8530816666,out/guided_masks/guided_mask_28.png
29,55384.387176015385,589.7659042604256,3820.585986666667,3820.585986666667,3.820585986666667,10680295968.034939,10.680295968034939,3333354.025603283,out/guided_masks/guided_mask_29.png
30,55204.4393230201,457.5577195419037,2661.030706666667,2661.030706666667,2.6610307066666667,3858275983.018817,3.858275983018817,1942596.4254493706,out/guided_masks/guided_mask_30.png
31,53373.94378590788,1385.368452516784,3149.018984071981,1263.6179333333334,3.1490189840719807,2448461419.3110867,2.4484614193110867,1887346.2427005263,out/guided_masks/guided_mask_31.png
32,53274.24140336378,704.568501022272,2512.3697733333333,2512.3697733333333,2.5123697733333334,5551892396.644943,5.551892396644943,2758531.1242843056,out/guided_masks/guided_mask_32.png
33,52402.724334589584,735.8370425843609,2500.354367318142,2497.5036800000003,2.500354367318142,5729144265.462254,5.729144265462254,2993012.8998704012,out/guided_masks/guided_mask_33.png
34,50220.636843627646,1560.2878237521754,3327.336746428603,1248.7518400000001,3.3273367464286028,2476155572.360804,2.476155572360804,1904805.300449161,out/guided_masks/guided_mask_34.png
35,50284.10996398383,649.2222772550199,2081.2530666666667,2081.2530666666667,2.0812530666666667,3506538392.232075,3.506538392232075,2204924.293140884,out/guided_masks/guided_mask_35.png
36,49456.54791113546,2251.3295372652356,2167.6016167961307,1977.1904133333335,2.1676016167961305,4381824321.677697,4.381824321677697,2985719.875747554,out/guided_masks/guided_mask_36.png
37,49210.94851977934,606.4430056242471,2294.958936254311,2125.851346666667,2.2949589362543112,3165947960.3845334,3.1659479603845333,2323601.685685402,out/guided_masks/guided_mask_37.png
38,42955.102490697696,694.2228985742945,2753.823399781771,2631.29852,2.753823399781771,5766595623.064921,5.766595623064921,3304844.9313048795,out/guided_masks/guided_mask_38.png
39,43296.41826020035,1725.1762881052496,3602.1312243579764,1873.12776,3.6021312243579766,4915897092.18689,4.915897092186889,1713418.667407164,out/guided_masks/guided_mask_39.png
40,42860.26905707235,588.1383763912729,2020.7976148527928,1932.5921333333333,2.0207976148527926,2645557983.425092,2.645557983425092,2137298.0694562984,out/guided_masks/guided_mask_40.png
41,39780.11945307983,672.9641788399125,2333.976653333333,2333.976653333333,2.333976653333333,4113014368.388175,4.113014368388175,2592117.573844786,out/guided_masks/guided_mask_41.png
42,38581.946939471825,1196.065018515291,2845.54201129978,2096.11916,2.84554201129978,5711417186.315887,5.711417186315887,3601206.911569681,out/guided_masks/guided_mask_42.png
43,38567.33442317513,675.3718782370847,1664.9712275750771,1427.14496,1.6649712275750772,1632934927.2711504,1.6329349272711504,1718280.6834890621,out/guided_masks/guided_mask_43.png
44,37758.14550961546,877.9936356225795,2825.469462640628,2720.49508,2.825469462640628,7662015179.023832,7.6620151790238324,3766294.457623228,out/guided_masks/guided_mask_44.png
